學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀校際選課人次小計,修讀校際選課人次男,修讀校際選課人次女
105,1,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,碩士班(日間),3,1,2
105,1,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,博士班,2,0,2
105,1,公立,一般大學,0004,國立臺灣師範大學,01113018,特殊教育學系,學士班(日間),15,2,13
105,1,公立,一般大學,0004,國立臺灣師範大學,01114019,教育政策與行政研究所,碩士班(日間),1,1,0
105,1,公立,一般大學,0004,國立臺灣師範大學,01115002,課程與教學研究所,碩士班(日間),1,0,1
105,1,公立,一般大學,0004,國立臺灣師範大學,01116014,資訊教育研究所,碩士班(日間),1,1,0
105,1,公立,一般大學,0004,國立臺灣師範大學,01131004,公民教育與活動領導學系,學士班(日間),37,20,17
105,1,公立,一般大學,0004,國立臺灣師範大學,01131004,公民教育與活動領導學系,碩士班(日間),2,0,2
105,1,公立,一般大學,0004,國立臺灣師範大學,01131009,社會教育學系,學士班(日間),32,9,23
105,1,公立,一般大學,0004,國立臺灣師範大學,01131009,社會教育學系,碩士班(日間),5,0,5
105,1,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,學士班(日間),24,4,20
105,1,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,碩士班(日間),2,0,2
105,1,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,博士班,2,0,2
105,1,公立,一般大學,0004,國立臺灣師範大學,01141010,工業教育學系,學士班(日間),18,16,2
105,1,公立,一般大學,0004,國立臺灣師範大學,01141013,環境教育研究所,碩士班(日間),2,0,2
105,1,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,學士班(日間),24,19,5
105,1,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,碩士班(日間),1,1,0
105,1,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,博士班,4,3,1
105,1,公立,一般大學,0004,國立臺灣師範大學,01141017,健康促進與衛生教育學系,學士班(日間),14,3,11
105,1,公立,一般大學,0004,國立臺灣師範大學,01141017,健康促進與衛生教育學系,碩士班(日間),2,0,2
105,1,公立,一般大學,0004,國立臺灣師範大學,01141017,健康促進與衛生教育學系,博士班,1,0,1
105,1,公立,一般大學,0004,國立臺灣師範大學,01199022,科技應用與人力資源發展學系,學士班(日間),41,23,18
105,1,公立,一般大學,0004,國立臺灣師範大學,01199022,科技應用與人力資源發展學系,碩士班(日間),1,1,0
105,1,公立,一般大學,0004,國立臺灣師範大學,02122037,設計學系,學士班(日間),10,2,8
105,1,公立,一般大學,0004,國立臺灣師範大學,02122037,設計學系,碩士班(日間),5,2,3
105,1,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,學士班(日間),13,3,10
105,1,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,碩士班(日間),2,1,1
105,1,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,學士班(日間),8,0,8
105,1,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,碩士班(日間),1,1,0
105,1,公立,一般大學,0004,國立臺灣師範大學,02191026,藝術史研究所,碩士班(日間),3,0,3
105,1,公立,一般大學,0004,國立臺灣師範大學,02221035,歷史學系,學士班(日間),54,29,25
105,1,公立,一般大學,0004,國立臺灣師範大學,02221035,歷史學系,碩士班(日間),2,2,0
