學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),合作學校國家(地區)別,合作學校國家(地區)區域別,修讀雙聯學制學生人數本國學生小計,修讀雙聯學制學生人數本國學生男,修讀雙聯學制學生人數本國學生女,修讀雙聯學制學生人數外國學生小計,修讀雙聯學制學生人數外國學生男,修讀雙聯學制學生人數外國學生女
105,2,公立,技專校院,0023,國立雲林科技大學,02112011,視覺傳達設計系,學士班(日間),馬來西亞,東協,0,0,0,1,0,1
105,2,公立,技專校院,0023,國立雲林科技大學,02112013,數位媒體設計系,學士班(日間),馬來西亞,東協,0,0,0,4,2,2
105,2,公立,技專校院,0024,國立屏東科技大學,05121015,生物科技系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,1,0,1
105,2,公立,技專校院,0024,國立屏東科技大學,07211037,食品科學國際碩士學位學程,碩士班(日間),泰國,東協,0,0,0,1,0,1
105,2,公立,技專校院,0024,國立屏東科技大學,08112032,動物科學與畜產系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,2,1,1
105,2,公立,技專校院,0024,國立屏東科技大學,08193036,農企業管理國際碩士學位學程,碩士班(日間),印度尼西亞共和國,東協,0,0,0,3,2,1
105,2,公立,技專校院,0024,國立屏東科技大學,08199030,熱帶農業暨國際合作系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,1,1,0
105,2,公立,技專校院,0025,國立臺北科技大學,07111053,分子科學與工程系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,技專校院,0025,國立臺北科技大學,07111053,分子科學與工程系有機高分子博士班,博士班,法國,歐洲,1,1,0,0,0,0
105,2,公立,技專校院,0025,國立臺北科技大學,07121063,環境工程與管理研究所,碩士班(日間),德意志聯邦共和國,歐洲,3,0,3,0,0,0
105,2,公立,技專校院,0025,國立臺北科技大學,07141028,電子工程系,碩士班(日間),日本,其他亞洲地區,1,1,0,0,0,0
