學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),學費收費基準,雜費收費基準,備註
107,公立,一般大學,0006,國立中興大學,05121031,生物科技學士學位學程,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,05111029,昆蟲學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,08112066,動物科學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,02311006,外國語文學系,學士班(日間),16861,6997,
107,公立,一般大學,0006,國立中興大學,05311039,化學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,05331040,物理學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,05411041,應用數學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,07321054,土木工程學系,學士班(日間),17003,10874,
107,公立,一般大學,0006,國立中興大學,07112057,材料科學與工程學系,學士班(日間),17003,10874,
107,公立,一般大學,0006,國立中興大學,07121059,環境工程學系,學士班(日間),17003,10874,
107,公立,一般大學,0006,國立中興大學,05111026,生命科學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,08411087,獸醫學系,學士班(日間),17044,11394,
107,公立,一般大學,0006,國立中興大學,07151052,生物產業機電工程學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,07211081,食品暨應用生物科技學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,08193078,國際農企業學士學位學程,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,07312061,景觀與遊憩學士學位學程,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,08211086,森林學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,08194068,植物病理學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,08121067,園藝學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,08111063,農藝學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,03111009,應用經濟學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,04131016,企業管理學系,學士班(日間),16861,7354,
107,公立,一般大學,0006,國立中興大學,04143020,行銷學系,學士班(日間),16861,7354,
107,公立,一般大學,0006,國立中興大學,04121019,財務金融學系,學士班(日間),16861,7354,
107,公立,一般大學,0006,國立中興大學,04111015,會計學系,學士班(日間),16861,7354,
107,公立,一般大學,0006,國立中興大學,06131043,資訊管理學系,學士班(日間),16861,7354,
107,公立,一般大學,0006,國立中興大學,04211023,法律學系,學士班(日間),16861,7354,
107,公立,一般大學,0006,國立中興大學,06131048,資訊科學與工程學系,學士班(日間),17003,10874,
107,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,學士班(日間),17003,10874,
107,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,學士班(日間),17680,11060,
107,公立,一般大學,0007,國立陽明交通大學,04121020,資訊管理與財務金融學系,學士班(日間),17680,11060,
107,公立,一般大學,0007,國立陽明交通大學,10411086,運輸與物流管理學系,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,學士班(日間),17680,11060,
107,公立,一般大學,0007,國立陽明交通大學,02311005,外國語文學系,學士班(日間),17510,7260,
107,公立,一般大學,0007,國立陽明交通大學,05331041,電子物理學系,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,05411045,應用數學系,學士班(日間),17680,11060,
107,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,07141051,電子工程學系,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,07141050,電機工程學系,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,07321071,土木工程學系,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,07112072,材料科學與工程學系,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,07141074,奈米科學及工程學士學位學程,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,07151070,機械工程學系,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,05121028,生物科技學系,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,02299008,人文社會學系,學士班(日間),17510,7260,
107,公立,一般大學,0007,國立陽明交通大學,03211015,傳播與科技學系,學士班(日間),17510,7260,
107,公立,一般大學,0007,國立陽明交通大學,99999096,百川學士學位學程,學士班(日間),17510,7260,
107,公立,一般大學,0007,國立陽明交通大學,07141068,電機資訊學士班,學士班(日間),17680,11310,
107,公立,一般大學,0007,國立陽明交通大學,06131058,資訊工程學系,學士班(日間),17680,11310,
107,公立,一般大學,0008,國立中央大學,05311035,化學學系,學士班(日間),17490,10950,
107,公立,一般大學,0008,國立中央大學,07141060,通訊工程學系,學士班(日間),17490,11170,
107,公立,一般大學,0008,國立中央大學,07141077,資訊電機學院學士班,學士班(日間),17490,11170,
107,公立,一般大學,0008,國立中央大學,05322044,大氣科學學系,學士班(日間),17490,10950,
107,公立,一般大學,0008,國立中央大學,05121031,生命科學系,學士班(日間),17490,10950,
107,公立,一般大學,0008,國立中央大學,02322006,中國文學系,學士班(日間),17330,7180,
107,公立,一般大學,0008,國立中央大學,02311008,法國語文學系,學士班(日間),17330,7180,
107,公立,一般大學,0008,國立中央大學,02311007,英美語文學系,學士班(日間),17330,7180,
107,公立,一般大學,0008,國立中央大學,07141057,光電科學與工程學系,學士班(日間),17490,10950,
107,公立,一般大學,0008,國立中央大學,05331042,物理學系,學士班(日間),17490,10950,
107,公立,一般大學,0008,國立中央大學,05399050,理學院學士班,學士班(日間),17490,10950,
107,公立,一般大學,0008,國立中央大學,05411051,數學系,學士班(日間),17490,10950,
107,公立,一般大學,0008,國立中央大學,07321067,土木工程學系,學士班(日間),17490,11170,
107,公立,一般大學,0008,國立中央大學,07194076,工學院學士班,學士班(日間),17490,11170,
107,公立,一般大學,0008,國立中央大學,07111069,化學工程與材料工程學系,學士班(日間),17490,11170,
107,公立,一般大學,0008,國立中央大學,07151064,機械工程學系,學士班(日間),17490,11170,
