學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀輔系人次小計,修讀輔系人次男,修讀輔系人次女
105,1,公立,一般大學,0008,國立中央大學,05311035,化學學系,學士班(日間),1,1,0
105,1,公立,一般大學,0008,國立中央大學,05321036,地球科學學系,學士班(日間),4,3,1
105,1,公立,一般大學,0008,國立中央大學,05322044,大氣科學學系,學士班(日間),3,3,0
105,1,公立,一般大學,0008,國立中央大學,05331042,物理學系,學士班(日間),2,2,0
105,1,公立,一般大學,0008,國立中央大學,05399050,理學院學士班,學士班(日間),1,1,0
105,1,公立,一般大學,0008,國立中央大學,05411051,數學系,學士班(日間),1,1,0
105,1,公立,一般大學,0008,國立中央大學,06131053,資訊管理學系,學士班(日間),14,10,4
105,1,公立,一般大學,0008,國立中央大學,06131059,資訊工程學系,學士班(日間),4,2,2
105,1,公立,一般大學,0008,國立中央大學,07141055,電機工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0008,國立中央大學,07141060,通訊工程學系,學士班(日間),1,0,1
105,1,公立,一般大學,0008,國立中央大學,07151064,機械工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0008,國立中央大學,07321067,土木工程學系,學士班(日間),2,2,0
105,1,公立,一般大學,0009,國立中山大學,02311006,外國語文學系,學士班(日間),15,2,13
105,1,公立,一般大學,0009,國立中山大學,02322005,中國文學系,學士班(日間),13,5,8
105,1,公立,一般大學,0009,國立中山大學,03141013,社會學系,學士班(日間),14,7,7
105,1,公立,一般大學,0009,國立中山大學,04131021,企業管理學系,學士班(日間),4,3,1
105,1,公立,一般大學,0009,國立中山大學,04134010,政治經濟學系,學士班(日間),13,7,6
105,1,公立,一般大學,0009,國立中山大學,05111033,生物科學系,學士班(日間),5,3,2
105,1,公立,一般大學,0009,國立中山大學,05311037,化學系,學士班(日間),3,3,0
105,1,公立,一般大學,0009,國立中山大學,05323044,海洋生物科技暨資源學系,學士班(日間),6,5,1
105,1,公立,一般大學,0009,國立中山大學,05323047,海洋科學系,學士班(日間),2,1,1
105,1,公立,一般大學,0009,國立中山大學,05331038,物理學系,學士班(日間),2,2,0
105,1,公立,一般大學,0009,國立中山大學,05411051,應用數學系,學士班(日間),3,2,1
105,1,公立,一般大學,0009,國立中山大學,06131052,資訊管理學系,學士班(日間),5,3,2
105,1,公立,一般大學,0009,國立中山大學,07112063,材料與光電科學學系,學士班(日間),1,1,0
105,1,公立,一般大學,0009,國立中山大學,07122065,海洋環境及工程學系,學士班(日間),1,0,1
105,1,公立,一般大學,0009,國立中山大學,07141053,電機工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0009,國立中山大學,07141054,光電工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0009,國立中山大學,07141055,資訊工程學系,學士班(日間),3,3,0
105,1,公立,一般大學,0009,國立中山大學,07151061,機械與機電工程學系,學士班(日間),6,6,0
