年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「產學合作」計畫經費-小計,學校承接「產學合作」計畫經費-政府部門資助,學校承接「產學合作」計畫經費-企業部門資助,學校承接「產學合作」計畫經費-其他單位資助,專任教師每師平均承接「產學合作」計畫經費
106,私立,一般大學,1013,華梵大學,109,5309600,4078000,934260,297340,48711.93
106,私立,一般大學,1014,義守大學,488,153335529,39749483,52123990,61462056,314212.15
106,私立,一般大學,1015,世新大學,326,80472976,67453684,4530372,8488920,246849.62
106,私立,一般大學,1016,銘傳大學,591,25386195,16464550,5852645,3069000,42954.64
106,私立,一般大學,1017,實踐大學,399,38229619,26156620,9132999,2940000,95813.58
106,私立,技專校院,1018,朝陽科技大學,400,121201071,53048583,48557519,19594969,303002.68
106,私立,一般大學,1019,高雄醫學大學,557,365379580,102020370,256889595,6469615,655977.70
106,私立,一般大學,1020,南華大學,217,62034571,58973099,1866699,1194773,285873.60
106,私立,一般大學,1021,真理大學,280,10988477,10830477,158000,0,39244.56
106,私立,一般大學,1022,大同大學,165,55974403,15250938,37073465,3650000,339238.81
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,578,262936101,136257717,80426673,46251711,454906.75
106,私立,技專校院,1024,崑山科技大學,359,107579394,59816827,39017272,8745295,299664.05
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,478,84813559,43134257,41115302,564000,177434.22
106,私立,技專校院,1026,樹德科技大學,281,80764405,52761265,21533140,6470000,287417.81
106,私立,一般大學,1027,慈濟學校財團法人慈濟大學,251,253443953,13786949,3707018,235949986,1009736.86
106,私立,一般大學,1028,臺北醫學大學,620,452346589,93204000,329471999,29670590,729591.27
106,私立,一般大學,1029,中山醫學大學,399,176393729,5737000,42704725,127952004,442089.55
106,私立,技專校院,1030,龍華科技大學,242,65097055,17844700,28841135,18411220,268996.10
106,私立,技專校院,1031,輔英科技大學,331,13592888,0,10635162,2957726,41066.13
106,私立,技專校院,1032,明新學校財團法人明新科技大學,372,36749753,14963505,16531912,5254336,98789.66
106,私立,一般大學,1033,長榮大學,350,84581546,42057644,6353012,36170890,241661.56
106,私立,技專校院,1034,弘光科技大學,322,57586732,3253000,50292606,4041126,178840.78
106,私立,一般大學,1035,中國醫藥大學,484,690065530,138004000,536292223,15769307,1425755.23
106,私立,技專校院,1036,健行學校財團法人健行科技大學,299,29825558,8128347,16070063,5627148,99751.03
106,私立,技專校院,1037,正修學校財團法人正修科技大學,437,229474980,37113059,163079836,29282085,525114.37
106,私立,技專校院,1038,萬能學校財團法人萬能科技大學,248,21327705,7077000,11655705,2595000,85998.81
106,私立,一般大學,1039,玄奘大學,143,6888090,648000,4926090,1314000,48168.46
106,私立,技專校院,1040,建國科技大學,263,39528451,20240222,15798329,3489900,150298.29
106,私立,技專校院,1041,明志科技大學,196,97410461,39237511,56566277,1606673,496992.15
106,私立,技專校院,1042,高苑科技大學,264,28884180,18693956,7736324,2453900,109409.77
106,私立,技專校院,1043,大仁科技大學,250,57855009,38319080,15179229,4356700,231420.04
106,私立,技專校院,1044,聖約翰科技大學,187,10099081,1965200,7519574,614307,54005.78
106,私立,技專校院,1045,嶺東科技大學,264,52358143,39066000,11855143,1437000,198326.30
106,私立,技專校院,1046,中國科技大學,305,52540850,43369220,4845030,4326600,172265.08
106,私立,技專校院,1047,中臺科技大學,275,15941580,0,4271130,11670450,57969.38
106,私立,一般大學,1048,亞洲大學,400,194345426,156474966,18291715,19578745,485863.57
106,私立,一般大學,1049,開南大學,258,3960320,980320,2980000,0,15350.08
106,私立,一般大學,1050,佛光大學,176,12724485,5861264,3331770,3531451,72298.21
106,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,333,39885549,3547084,26802925,9535540,119776.42
106,私立,技專校院,1052,遠東科技大學,232,47130427,10582334,32365654,4182439,203148.39
106,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,220,19361993,8808857,6992720,3560416,88009.06
106,私立,技專校院,1054,景文科技大學,201,43828122,7286234,27896918,8644970,218050.36
106,私立,技專校院,1055,中華醫事科技大學,299,23498533,0,13601502,9897031,78590.41
106,私立,技專校院,1056,東南科技大學,210,17677387,0,13593444,4083943,84178.03
106,私立,技專校院,1057,德明財經科技大學,236,41743181,650000,34071019,7022162,176877.89
106,私立,一般大學,1058,明道學校財團法人明道大學,130,2619000,1001000,788000,830000,20146.15
106,私立,技專校院,1060,南開科技大學,195,25625642,943000,23510642,1172000,131413.55
106,私立,技專校院,1061,中華學校財團法人中華科技大學,231,11058143,3575000,7163143,320000,47870.75
106,私立,技專校院,1062,僑光科技大學,227,16091002,0,10987243,5103759,70885.47
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,129,18122850,9603114,2473600,6046136,140487.21
106,私立,技專校院,1064,美和學校財團法人美和科技大學,231,24679074,17807924,3674000,3197150,106835.82
106,私立,技專校院,1065,吳鳳科技大學,163,11696000,1906000,9290000,500000,71754.60
106,私立,技專校院,1066,環球學校財團法人環球科技大學,181,11058032,2964392,7612640,481000,61094.10
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,105,3703002,3001137,420000,281865,35266.69
106,私立,技專校院,1068,中州學校財團法人中州科技大學,123,8665137,4789000,1989840,1886297,70448.27
106,私立,技專校院,1069,修平學校財團法人修平科技大學,203,14835513,3268000,9283890,2283623,73081.34
