學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,外籍專任教師數-教師總數,外籍專任教師數-教師總數男,外籍專任教師數-教師總數女,外籍專任教師數-教授男,外籍專任教師數-教授女,外籍專任教師數-副教授男,外籍專任教師數-副教授女,外籍專任教師數-助理教授男,外籍專任教師數-助理教授女,外籍專任教師數-講師男,外籍專任教師數-講師女,外籍專任教師數-其他教師男,外籍專任教師數-其他教師女
106,公立,一般大學,0019,國立高雄大學,05331023,應用物理學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0019,國立高雄大學,05421025,統計學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0020,國立東華大學,02221033,歷史學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0020,國立東華大學,02222042,族群關係與文化學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0020,國立東華大學,03131046,諮商與臨床心理學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0020,國立東華大學,04131060,國際企業學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0020,國立東華大學,04134054,公共行政學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0020,國立東華大學,05311071,化學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0020,國立東華大學,05331072,物理學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0020,國立東華大學,07112090,材料科學與工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0020,國立東華大學,99999Z08,語言中心,4,4,0,0,0,0,0,0,0,4,0,0,0
106,公立,一般大學,0021,國立暨南國際大學,02311014,外國語文學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0021,國立暨南國際大學,03131004,諮商心理與人力資源發展學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0021,國立暨南國際大學,03143019,東南亞學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0021,國立暨南國際大學,07141031,電機工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0021,國立暨南國際大學,99999Z08,語文教學研究中心,1,1,0,0,0,0,0,0,0,1,0,0,0
106,公立,技專校院,0022,國立臺灣科技大學,02311003,應用外語系,2,0,2,0,0,0,1,0,0,0,1,0,0
106,公立,技專校院,0022,國立臺灣科技大學,04199012,工業管理系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,技專校院,0022,國立臺灣科技大學,04199013,管理學院,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,技專校院,0022,國立臺灣科技大學,05399015,應用科技研究所,3,2,1,1,0,1,0,0,0,0,1,0,0
106,公立,技專校院,0022,國立臺灣科技大學,07112028,材料科學與工程系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,技專校院,0022,國立臺灣科技大學,07141018,電子工程系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,技專校院,0022,國立臺灣科技大學,07151023,機械工程系,2,2,0,1,0,1,0,0,0,0,0,0,0
106,公立,技專校院,0022,國立臺灣科技大學,99999999,研究發展處,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,技專校院,0022,國立臺灣科技大學,99999Z08,語言中心,3,3,0,0,0,0,0,2,0,1,0,0,0
106,公立,技專校院,0023,國立雲林科技大學,02192002,文化資產維護系,2,2,0,1,0,0,0,1,0,0,0,0,0
106,公立,技專校院,0023,國立雲林科技大學,02311004,應用外語系,2,2,0,0,0,0,0,1,0,1,0,0,0
106,公立,技專校院,0023,國立雲林科技大學,02322003,漢學應用研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,技專校院,0023,國立雲林科技大學,99999Z01,通識教育中心,2,2,0,0,0,0,0,0,0,2,0,0,0
106,公立,技專校院,0024,國立屏東科技大學,02311002,應用外語系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,技專校院,0024,國立屏東科技大學,07151018,機械工程系,1,0,1,0,1,0,0,0,0,0,0,0,0
106,公立,技專校院,0024,國立屏東科技大學,07161019,車輛工程系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,技專校院,0024,國立屏東科技大學,08199030,熱帶農業暨國際合作系,2,2,0,0,0,1,0,1,0,0,0,0,0
