學年度,設立別,學校類別,學校統計處代碼,學校名稱,人事費支出(含退休撫卹+超額年金)金額,人事費支出(含退休撫卹+超額年金)(%),業務費(不含折舊及攤銷)金額,業務費(不含折舊及攤銷)(%),折舊及攤銷金額,折舊及攤銷(%),獎學金支出金額,獎學金支出(%),補助弱勢清寒學生之助學性支出金額,補助弱勢清寒學生之助學性支出(%),建築物及設備之維護費用金額,建築物及設備之維護費用(%),利息費用金額,利息費用(%),各項投資、基金及附屬機構損失金額,各項投資、基金及附屬機構損失(%),其他校務支出金額,其他校務支出(%),合計金額,合計(%)
105,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,15502,70.98,2962,13.56,482,2.21,230,1.05,1531,7.01,1127,5.16,0,0,0,0,6,0.03,21840,100
105,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,32190,75.47,5788,13.57,615,1.44,135,0.32,0,0,3799,8.91,0,0,0,0,124,0.29,42652,100
105,私立,宗教研修學院,1R06,一貫道崇德學院,7696,71.70,1875,17.47,526,4.90,529,4.93,0,0,106,0.98,0,0,0,0,0,0,10733,100
106,私立,一般大學,1001,東海大學,1544699,61.05,507248,20.05,222146,8.78,41448,1.64,102377,4.05,56609,2.24,10,0,0,0,55478,2.19,2530015,100
106,私立,一般大學,1002,輔仁大學,2078514,50,783462,18.85,294582,7.09,70646,1.70,233448,5.62,115532,2.78,22,0,538296,12.95,42781,1.03,4157283,100
106,私立,一般大學,1003,東吳大學,1359381,61.04,415005,18.64,191146,8.58,34891,1.57,120960,5.43,97325,4.37,110,0,0,0,8163,0.37,2226981,100
106,私立,一般大學,1004,中原大學,1524140,50.59,816563,27.11,378585,12.57,34429,1.14,140305,4.66,72243,2.40,1385,0.05,0,0,44881,1.49,3012531,100
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,2140617,59.45,781479,21.70,288690,8.02,135274,3.76,110807,3.08,101400,2.82,0,0,0,0,42291,1.17,3600558,100
106,私立,一般大學,1006,中國文化大學,2104149,55.47,843554,22.24,391874,10.33,35029,0.92,232682,6.13,168451,4.44,0,0,0,0,17698,0.47,3793437,100
106,私立,一般大學,1007,逢甲大學,2118376,56.48,796335,21.23,287477,7.66,57569,1.53,219741,5.86,180211,4.80,14559,0.39,2896,0.08,73516,1.96,3750680,100
106,私立,一般大學,1008,靜宜大學,961111,54.97,360708,20.63,143945,8.23,21545,1.23,152344,8.71,71193,4.07,124,0.01,0,0,37320,2.13,1748290,100
106,私立,一般大學,1009,長庚大學,2176767,58.26,795310,21.29,445579,11.93,16028,0.43,73761,1.97,151469,4.05,0,0,0,0,77244,2.07,3736158,100
106,私立,一般大學,1010,元智大學,973472,55.54,380239,21.69,136950,7.81,7315,0.42,69361,3.96,58709,3.35,0,0,0,0,126797,7.23,1752843,100
106,私立,一般大學,1011,中華大學學校財團法人中華大學,645710,60.46,216555,20.28,89937,8.42,15517,1.45,59698,5.59,30157,2.82,996,0.09,0,0,9362,0.88,1067932,100
106,私立,一般大學,1012,大葉大學,854614,52.51,356407,21.90,154638,9.50,31283,1.92,118421,7.28,72644,4.46,1380,0.08,0,0,38087,2.34,1627474,100
106,私立,一般大學,1013,華梵大學,249682,49.96,97670,19.54,96968,19.40,7328,1.47,39015,7.81,8283,1.66,0,0,0,0,780,0.16,499726,100
106,私立,一般大學,1014,義守大學,1227635,51.38,731125,30.60,224738,9.41,34157,1.43,93640,3.92,41105,1.72,1262,0.05,40,0,35512,1.49,2389214,100
106,私立,一般大學,1015,世新大學,811685,50.85,431023,27,163499,10.24,11294,0.71,52732,3.30,17583,1.10,0,0,23070,1.45,85461,5.35,1596347,100
106,私立,一般大學,1016,銘傳大學,1553712,61.04,531973,20.90,171806,6.75,63670,2.50,86749,3.41,41753,1.64,344,0.01,0,0,95452,3.75,2545459,100
106,私立,一般大學,1017,實踐大學,971963,55.94,379103,21.82,174139,10.02,36669,2.11,84294,4.85,73159,4.21,0,0,0,0,18129,1.04,1737456,100
106,私立,技專校院,1018,朝陽科技大學,1022918,51.71,508545,25.71,151184,7.64,41984,2.12,87020,4.40,108711,5.50,0,0,34035,1.72,23870,1.21,1978267,100
106,私立,一般大學,1019,高雄醫學大學,1408187,57.24,615702,25.03,173030,7.03,33646,1.37,41847,1.70,61086,2.48,445,0.02,25655,1.04,100369,4.08,2459967,100
106,私立,一般大學,1020,南華大學,588904,49.66,146200,12.33,150608,12.70,69782,5.88,189502,15.98,35339,2.98,0,0,0,0,5515,0.47,1185850,100
106,私立,一般大學,1021,真理大學,551462,69.80,82729,10.47,97467,12.34,8701,1.10,28182,3.57,11565,1.46,6654,0.84,0,0,3276,0.41,790036,100
106,私立,一般大學,1022,大同大學,405356,50.50,230711,28.74,98893,12.32,11782,1.47,20004,2.49,31468,3.92,0,0,0,0,4402,0.55,802616,100
106,私立,技專校院,1023,南臺學校財團法人南臺科技大學,1279138,53.69,622273,26.12,235350,9.88,140333,5.89,57734,2.42,27474,1.15,0,0,11880,0.50,8486,0.36,2382668,100
106,私立,技專校院,1024,崑山科技大學,794601,46.95,488957,28.89,273778,16.18,21816,1.29,60881,3.60,44535,2.63,205,0.01,334,0.02,7390,0.44,1692497,100
106,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,932698,51.03,475328,26.01,226823,12.41,4367,0.24,71958,3.94,95740,5.24,11597,0.63,0,0,9140,0.50,1827651,100
106,私立,技專校院,1026,樹德科技大學,648377,45.29,431594,30.15,151931,10.61,24114,1.68,93234,6.51,65428,4.57,1,0,0,0,16789,1.17,1431468,100
