學年度,設立別,學校類別,學校統計處代碼,學校名稱,私立學校可用資金,私立學校本學年現金增減情形-營運活動淨現金流入(出),私立學校本學年現金增減情形-投資活動淨現金流入(出),私立學校本學年現金增減情形-籌資活動淨現金流入(出),私立學校本學年現金增減情形-匯率變動影響數(107新增),私立學校本學年現金增減情形-小計
108,私立,技專校院,1047,中臺科技大學,950453,136924,-75492,-13423,0,48008
108,私立,一般大學,1048,亞洲大學,609054,355752,365424,-550437,0,170738
108,私立,一般大學,1049,開南大學,260460,29211,-34827,-239206,0,-244822
108,私立,一般大學,1050,佛光大學,178580,161629,-60749,-1452,0,99427
108,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,2834686,349343,-198055,-742,0,150547
108,私立,技專校院,1052,遠東科技大學,270828,67451,-61587,-595,0,5269
108,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,1083883,79976,-60638,-5696,0,13642
108,私立,技專校院,1054,景文科技大學,873462,126682,-51602,559,0,75639
108,私立,技專校院,1055,中華醫事科技大學,561450,174235,-41030,-993,0,132213
108,私立,技專校院,1056,東南科技大學,658023,96940,-47675,770,0,50035
108,私立,技專校院,1057,德明財經科技大學,2820511,168779,-94909,225,0,74095
108,私立,一般大學,1058,明道學校財團法人明道大學,18443,-16591,-52989,14119,0,-55461
108,私立,技專校院,1060,南開科技大學,548798,16806,-49517,-1744,0,-34456
108,私立,技專校院,1061,中華學校財團法人中華科技大學,70364,107354,-49795,-77199,0,-19639
108,私立,技專校院,1062,僑光科技大學,2190025,332670,-54303,-354,0,278012
108,私立,技專校院,1063,廣亞學校財團法人育達科技大學,602522,28365,-23314,-17,0,5034
108,私立,技專校院,1064,美和學校財團法人美和科技大學,414745,66289,-42171,5617,0,29734
108,私立,技專校院,1065,吳鳳科技大學,372432,85352,-55776,2471,0,32047
108,私立,技專校院,1066,環球學校財團法人環球科技大學,36600,-35820,-100006,169724,0,33897
108,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,43611,-35097,8244,-392,0,-27245
108,私立,技專校院,1068,中州學校財團法人中州科技大學,157396,4327,-22658,-2445,0,-20776
108,私立,技專校院,1069,修平學校財團法人修平科技大學,251250,-3576,-63185,-1466,0,-68227
108,私立,技專校院,1070,長庚學校財團法人長庚科技大學,2812444,622332,-638136,-5202,0,-21006
108,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,1880557,340195,-106760,618,0,234052
