學年度,設立別 ,學校類別,學校代碼,學校名稱,,,總計,男,女,男,女,男,女,男,女,男,女,男,女
101,公立,一般大學,32,國立聯合大學,580101,建築學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,35,國立臺南藝術大學,210401,音樂學系,2,2,0,0,0,0,0,0,0,0,0,2,0
101,公立,一般大學,35,國立臺南藝術大學,210402,中國音樂學系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,35,國立臺南藝術大學,210606,造形藝術研究所,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,35,國立臺南藝術大學,210612,動畫藝術與影像美學研究所,3,2,1,0,0,1,0,0,0,0,0,1,1
101,公立,一般大學,36,國立臺南大學,220308,英語學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,39,國立臺中教育大學,220308,英語學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,40,國立屏東教育大學,210401,音樂學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,40,國立屏東教育大學,220308,英語學系,4,3,1,0,0,0,0,0,0,2,0,1,1
101,公立,一般大學,48,國立金門大學,220312,應用英語學系,4,3,1,0,0,0,0,1,1,0,0,2,0
101,公立,一般大學,49,國立臺灣體育運動大學,810518,體育舞蹈學系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,3001,臺北市立教育大學,140212,英語教學系,1,1,0,0,0,0,0,0,0,1,0,0,0
101,公立,技專校院,22,國立臺灣科技大學,220303,應用外語系,3,1,2,0,0,0,1,1,0,0,1,0,0
101,公立,技專校院,22,國立臺灣科技大學,349906,工業管理系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,技專校院,22,國立臺灣科技大學,449902,應用科技研究所,3,2,1,0,0,0,0,1,0,0,0,1,1
101,公立,技專校院,22,國立臺灣科技大學,520103,電子工程系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,技專校院,22,國立臺灣科技大學,520172,色彩與照明科技研究所,3,3,0,0,0,0,0,0,0,0,0,3,0
101,公立,技專校院,22,國立臺灣科技大學,520201,機械工程系,2,2,0,2,0,0,0,0,0,0,0,0,0
101,公立,技專校院,22,國立臺灣科技大學,520401,化學工程系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,技專校院,22,國立臺灣科技大學,520502,材料科學與工程系,2,2,0,2,0,0,0,0,0,0,0,0,0
101,公立,技專校院,22,國立臺灣科技大學,521307,醫學工程研究所,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,技專校院,22,國立臺灣科技大學,999999,教學資源中心,3,2,1,0,0,0,0,0,0,0,0,2,1
101,公立,技專校院,23,國立雲林科技大學,211005,文化資產維護系,2,2,0,0,0,1,0,1,0,0,0,0,0
101,公立,技專校院,23,國立雲林科技大學,220303,應用外語系,4,4,0,0,0,0,0,1,0,3,0,0,0
101,公立,技專校院,23,國立雲林科技大學,221202,漢學資料整理研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,技專校院,24,國立屏東科技大學,220303,應用外語系,2,2,0,0,0,0,0,1,0,1,0,0,0
101,公立,技專校院,24,國立屏東科技大學,520201,機械工程系,1,0,1,0,0,0,1,0,0,0,0,0,0
101,公立,技專校院,24,國立屏東科技大學,520202,車輛工程系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,技專校院,24,國立屏東科技大學,620105,熱帶農業暨國際合作系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,技專校院,24,國立屏東科技大學,990199,教學資源中心,2,2,0,0,0,0,0,0,0,2,0,0,0
101,公立,技專校院,25,國立臺北科技大學,220312,應用英語(文)系,5,3,2,0,0,3,0,0,2,0,0,0,0
101,公立,技專校院,25,國立臺北科技大學,520301,土木工程系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,技專校院,26,國立高雄第一科技大學,220312,應用英語系,4,3,1,0,0,0,0,3,0,0,1,0,0
101,公立,技專校院,26,國立高雄第一科技大學,220317,應用德語系,2,1,1,0,0,0,0,1,0,0,1,0,0
101,公立,技專校院,26,國立高雄第一科技大學,220321,應用日語系,4,2,2,0,0,1,0,1,2,0,0,0,0
101,公立,技專校院,33,國立虎尾科技大學,220303,應用外語系,4,1,3,0,0,0,0,1,2,0,1,0,0
101,公立,技專校院,42,國立澎湖科技大學,220303,應用外語系,1,1,0,0,0,0,0,0,0,1,0,0,0
101,公立,技專校院,47,國立高雄餐旅大學,220312,應用英語系,3,3,0,0,0,0,0,1,0,2,0,0,0
101,公立,技專校院,47,國立高雄餐旅大學,220321,應用日語系,2,2,0,0,0,1,0,1,0,0,0,0,0
101,公立,技專校院,47,國立高雄餐旅大學,810105,西餐廚藝系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,技專校院,47,國立高雄餐旅大學,810120,國際廚藝學士學位學程,2,2,0,0,0,0,0,0,0,0,0,2,0
101,公立,技專校院,50,國立臺中科技大學,220312,應用英語(文)系,3,3,0,0,0,0,0,2,0,1,0,0,0
101,公立,技專校院,50,國立臺中科技大學,220321,應用日語系日本市場暨商務策略碩士班,4,2,2,0,0,0,0,2,2,0,0,0,0
101,公立,技專校院,136,國立屏東商業技術學院,220321,應用日語系,2,2,0,0,0,0,0,0,0,2,0,0,0
101,公立,技專校院,142,國立臺北商業技術學院,220303,應用外語系,2,2,0,0,0,0,0,2,0,0,0,0,0
101,私立,一般大學,1001,東海大學,210401,音樂學系,4,4,0,0,0,4,0,0,0,0,0,0,0
101,私立,一般大學,1001,東海大學,220201,中國文學系,1,0,1,0,1,0,0,0,0,0,0,0,0
101,私立,一般大學,1001,東海大學,220301,外國語文學系,10,8,2,0,0,6,2,0,0,2,0,0,0
101,私立,一般大學,1001,東海大學,220341,日本語言文化學系,7,6,1,0,0,1,0,4,1,1,0,0,0
101,私立,一般大學,1001,東海大學,220901,歷史學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,私立,一般大學,1001,東海大學,340408,國際經營與貿易學系,2,1,1,0,0,1,0,0,0,0,1,0,0
101,私立,一般大學,1001,東海大學,420103,生命科學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,私立,一般大學,1001,東海大學,440101,化學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,私立,一般大學,1001,東海大學,520403,化學工程與材料工程學系,1,1,0,1,0,0,0,0,0,0,0,0,0
