學年度,設立別,學校類別,學校統計處代碼,學校名稱,工作月數,"獎助生月支領金額人數-月領3,000元以下","獎助生月支領金額人數-月領3,001~6,000元以下","獎助生月支領金額人數-月領6,001~9,000元以下","獎助生月支領金額人數-月領9,001~基本工資一半以下",獎助生月支領金額人數-月領基本工資一半以上~未達基本工資以下,獎助生月支領金額人數-月領基本工資以上,"勞僱型學生兼任助理月支領金額人數-月領3,000元以下","勞僱型學生兼任助理月支領金額人數-月領3,001~6,000元以下","勞僱型學生兼任助理月支領金額人數-月領6,001~9,000元以下","勞僱型學生兼任助理月支領金額人數-月領9,001~基本工資一半以下",勞僱型學生兼任助理月支領金額人數-月領基本工資一半以上~未達基本工資以下,勞僱型學生兼任助理月支領金額人數-月領基本工資以上
109,公立,一般大學,0020,國立東華大學,5個月,75,42,1,1,5,3,62,24,64,6,32,14
109,公立,一般大學,0020,國立東華大學,6個月,50,25,26,5,3,8,52,10,74,16,14,16
109,公立,一般大學,0020,國立東華大學,7個月,36,28,11,21,0,0,22,42,0,0,52,6
109,公立,一般大學,0020,國立東華大學,8個月,3,53,17,34,2,0,34,68,56,0,16,6
109,公立,一般大學,0020,國立東華大學,9個月,32,55,16,5,0,1,32,10,106,2,12,4
109,公立,一般大學,0020,國立東華大學,10個月,12,26,19,8,5,3,24,52,110,16,20,0
109,公立,一般大學,0020,國立東華大學,11個月,26,57,32,23,12,1,52,114,64,46,12,6
109,公立,一般大學,0021,國立暨南國際大學,12個月,30,50,18,26,16,11,2,5,25,8,4,2
109,公立,一般大學,0021,國立暨南國際大學,1個月,20,53,12,8,15,6,199,102,38,17,38,11
109,公立,一般大學,0021,國立暨南國際大學,2個月,28,88,6,9,8,3,53,85,31,14,33,3
109,公立,一般大學,0021,國立暨南國際大學,3個月,11,81,10,18,7,3,118,156,42,14,60,12
109,公立,一般大學,0021,國立暨南國際大學,4個月,76,117,2,13,2,0,134,78,23,10,9,4
109,公立,一般大學,0021,國立暨南國際大學,5個月,10,36,12,7,3,3,21,27,7,8,10,3
109,公立,一般大學,0021,國立暨南國際大學,6個月,8,17,4,17,6,2,32,43,14,9,22,3
109,公立,一般大學,0021,國立暨南國際大學,7個月,13,5,3,6,8,2,87,56,15,6,5,7
109,公立,一般大學,0021,國立暨南國際大學,8個月,7,53,1,12,1,1,29,44,13,5,8,10
109,公立,一般大學,0021,國立暨南國際大學,9個月,6,16,3,4,9,0,7,14,6,3,5,2
109,公立,一般大學,0021,國立暨南國際大學,10個月,21,120,9,18,17,3,3,18,12,3,5,3
109,公立,一般大學,0021,國立暨南國際大學,11個月,11,15,6,5,4,0,1,6,1,1,6,0
109,公立,技專校院,0022,國立臺灣科技大學,12個月,169,516,314,134,110,9,3,7,5,0,12,0
109,公立,技專校院,0022,國立臺灣科技大學,1個月,513,80,31,14,15,0,142,51,14,4,17,1
109,公立,技專校院,0022,國立臺灣科技大學,2個月,137,52,38,13,15,0,39,38,17,10,6,0
109,公立,技專校院,0022,國立臺灣科技大學,3個月,95,58,27,7,2,0,36,31,17,3,3,0
109,公立,技專校院,0022,國立臺灣科技大學,4個月,89,67,17,13,10,1,10,38,16,7,1,3
109,公立,技專校院,0022,國立臺灣科技大學,5個月,64,65,33,15,11,2,15,106,26,4,0,0
109,公立,技專校院,0022,國立臺灣科技大學,6個月,48,78,33,17,3,0,5,12,9,5,2,0
109,公立,技專校院,0022,國立臺灣科技大學,7個月,32,54,20,7,4,1,3,11,10,1,1,0
109,公立,技專校院,0022,國立臺灣科技大學,8個月,34,40,15,15,9,2,0,7,1,1,0,0
109,公立,技專校院,0022,國立臺灣科技大學,9個月,34,77,33,8,8,2,2,7,7,1,1,0
109,公立,技專校院,0022,國立臺灣科技大學,10個月,36,58,38,7,12,1,8,55,9,5,2,0
109,公立,技專校院,0022,國立臺灣科技大學,11個月,40,81,47,21,5,0,5,7,7,1,2,0
109,公立,技專校院,0023,國立雲林科技大學,12個月,25,93,49,21,16,5,0,7,42,23,9,3
109,公立,技專校院,0023,國立雲林科技大學,1個月,137,205,40,45,29,4,490,187,144,44,7,14
109,公立,技專校院,0023,國立雲林科技大學,2個月,18,66,23,29,7,1,134,166,164,45,10,12
109,公立,技專校院,0023,國立雲林科技大學,3個月,57,84,17,31,5,1,50,99,173,26,10,13
109,公立,技專校院,0023,國立雲林科技大學,4個月,21,54,9,13,6,1,71,71,159,35,7,16
109,公立,技專校院,0023,國立雲林科技大學,5個月,20,52,52,5,7,0,25,76,157,39,12,11
109,公立,技專校院,0023,國立雲林科技大學,6個月,14,33,18,2,7,5,9,49,117,33,13,6
