,學年度,設立別 ,學校類別,學校代碼,學校名稱,縣市別,宿舍類別,自有宿舍床位數(床),男,女,租賃合約4年以上宿舍床位數(床),男,女
,102,私立,一般大學,1050,佛光大學,宜蘭縣,自有,1032,338,694,0,0,0
,102,私立,一般大學,1058,明道大學,彰化縣,自有,982,529,453,1168,608,560
,102,私立,一般大學,1059,康寧大學,臺南市,自有,1958,832,1126,0,0,0
,102,私立,一般大學,1067,台灣首府大學,臺南市,自有,1783,1020,763,0,0,0
,102,私立,一般大學,1125,興國管理學院,臺南市,自有,1641,666,975,0,0,0
,102,私立,一般大學,1176,稻江科技暨管理學院,嘉義縣,自有,1260,736,524,0,0,0
,102,私立,一般大學,1195,馬偕醫學院,新北市,自有,486,252,234,0,0,0
,102,私立,一般大學,1R01,法鼓佛教學院,新北市,自有,172,60,112,0,0,0
,102,私立,一般大學,1R02,基督教台灣浸會神學院,臺北市,自有,64,32,32,0,0,0
,102,私立,一般大學,1R03,臺北基督學院,新北市,自有,1066,204,862,0,0,0
,102,私立,技專校院,1018,朝陽科技大學,臺中市,自有,1012,352,660,1672,580,1092
,102,私立,技專校院,1023,南臺科技大學,臺南市,自有,3408,1474,1934,0,0,0
,102,私立,技專校院,1024,崑山科技大學,臺南市,自有,2013,1337,676,0,0,0
,102,私立,技專校院,1025,嘉南藥理大學,臺南市,自有,3438,1014,2424,0,0,0
,102,私立,技專校院,1026,樹德科技大學,高雄市,自有,2562,838,1724,0,0,0
,102,私立,技專校院,1030,龍華科技大學,桃園縣,自有,744,352,392,0,0,0
,102,私立,技專校院,1031,輔英科技大學,高雄市,自有,2550,382,2168,0,0,0
,102,私立,技專校院,1032,明新科技大學,新竹縣,自有,2171,1250,921,0,0,0
,102,私立,技專校院,1034,弘光科技大學,臺中市,自有,364,50,314,2917,972,1945
,102,私立,技專校院,1036,健行科技大學,桃園縣,自有,1520,910,610,0,0,0
,102,私立,技專校院,1037,正修科技大學,高雄市,自有,968,472,496,526,266,260
,102,私立,技專校院,1038,萬能科技大學,桃園縣,自有,1815,971,844,314,146,168
,102,私立,技專校院,1040,建國科技大學,彰化縣,自有,554,267,287,368,208,160
,102,私立,技專校院,1041,明志科技大學,新北市,自有,2750,1876,874,0,0,0
,102,私立,技專校院,1042,高苑科技大學,高雄市,自有,1494,976,518,0,0,0
,102,私立,技專校院,1043,大仁科技大學,屏東縣,自有,1294,492,802,0,0,0
