學年度,設立別,學校類別,學校統計處代碼,學校名稱,課程資訊公開網址,採購案件公告網址,校務暨財務公開專區
110,私立,技專校院,1054,景文科技大學,https://deans.just.edu.tw/public/CourseQry_Public.aspx,http://public.just.edu.tw/files/13-1047-29631.php,http://public.just.edu.tw/bin/home.php
110,私立,技專校院,1055,中華醫事科技大學,http://ecampus.hwai.edu.tw/Aa/sel/sel_0405.asp,https://affair.hwai.edu.tw/p/412-1015-839.php?Lang=zh-tw,https://hwaipublic.hwai.edu.tw/
110,私立,技專校院,1056,東南科技大學,http://Comm_QuerySbj.php,http://pishtml/pisindex.html,http://campusdata/
110,私立,技專校院,1057,德明財經科技大學,http://netinfo.takming.edu.tw/tip/comm_open.php,http://general.takming.edu.tw/p/412-1009-467.php?Lang=zh-tw,http://www.takming.edu.tw/financial
110,私立,一般大學,1058,明道學校財團法人明道大學,http://isc.mdu.edu.tw/net/cosinfo/pubinfomain.asp,http://www2.mdu.edu.tw/info/other-info/4-3/,http://www2.mdu.edu.tw/info/
110,私立,技專校院,1060,南開科技大學,http://sdssys.nkut.edu.tw/financial/4_School_Other/5_2.asp,https://aff.nkut.edu.tw/news2/news.php?class=2101,http://sdssys.nkut.edu.tw/financial/
110,私立,技專校院,1061,中華學校財團法人中華科技大學,http://ap.cust.edu.tw/pis/PubCsSearch,http://web.pcc.gov.tw/tps/pss/tender.do?method=goSearch&searchMode=common&searchType=basic,http://www.cust.edu.tw/www/cinfo/smain.php
110,私立,技專校院,1062,僑光科技大學,https://www.ocu.edu.tw/p/404-1000-42863.php?Lang=zh-tw,http://w3.ocu.edu.tw/genaffa/Bidding/sub.php,https://info.ocu.edu.tw/
110,私立,技專校院,1063,廣亞學校財團法人育達科技大學,https://cp.ydu.edu.tw/cp/PublicCurriculum,http://info.ydu.edu.tw/front/bin/cglist.phtml?Category=129,http://info.ydu.edu.tw/front/bin/cglist.phtml?Category=5
110,私立,技專校院,1064,美和學校財團法人美和科技大學,https://incsys.meiho.edu.tw/Meiho_CurQuery/,https://b008.meiho.edu.tw/files/11-1008-2355.php,https://project.meiho.edu.tw/files/11-1048-2970.php?Lang=zh-tw
110,私立,技專校院,1065,吳鳳科技大學,http://publicinfo.wfu.edu.tw/4-4_teachers_information.htm,http://www2.wfu.edu.tw/wp/sawu/?page_id=297,http://publicinfo.wfu.edu.tw
110,私立,技專校院,1066,環球學校財團法人環球科技大學,https://web.twu.edu.tw/~oaacs/index.php?fillID=12,https://web.twu.edu.tw/~oga/index.php?fillID=21,https://web.twu.edu.tw/~tuition/
110,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,http://erp1.tsu.edu.tw/dwu/index.html,https://oga.tsu.edu.tw/files/11-1003-642.php,https://plan.tsu.edu.tw/files/11-1054-3790.php?Lang=zh-tw
110,私立,技專校院,1068,中州學校財團法人中州科技大學,http://WWW.CCUT.EDU.TW/ADMINSECTION/FRONT/SHOWCONTENT.ASP?M_ID=182&SITE_ID=AA_CLASS,http://www.ccut.edu.tw/adminSection/front/showContent.asp?site_id=ga_affair&m_id=88,http://WWW.CCUT.EDU.TW/ADMINSECTION/FRONT/SHOWCONTENT.ASP?SITE_ID=FINANCE&M_ID=124
110,私立,技專校院,1069,修平學校財團法人修平科技大學,http://academic.hust.edu.tw/CURRICULUM?item=12&custom=880&type=detail&isEn=0,http://general.hust.edu.tw/AFFAIR?ITEM=34&TYPE=LIST&ISEN=0&DIR=1693,http://financial.hust.edu.tw/
110,私立,技專校院,1070,長庚學校財團法人長庚科技大學,http://webmis.cgust.edu.tw/%E8%AA%B2%E5%8B%99%E7%B5%84/%E8%AA%B2%E7%A8%8B%E6%9F%A5%E8%A9%A2/coursequery.htm,"https://www.cgust.edu.tw/p/406-1000-38656,r14.php",http://web.cgust.edu.tw/PublicInfo/
110,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,http://aao.tpcu.edu.tw/files/11-1026-954-1.php?Lang=zh-tw,http://203.64.215.72/tsint/pay001.jsp,http://www.tpcu.edu.tw/files/13-1000-17159.php?Lang=zh-tw
110,私立,技專校院,1072,大華學校財團法人敏實科技大學,https://info.mitust.edu.tw/p/412-1014-396.php?Lang=zh-tw,https://info.mitust.edu.tw/p/412-1014-395.php?Lang=zh-tw,https://info.mitust.edu.tw/index.php
110,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,https://campus.hwu.edu.tw/hwc/index.html,https://web.pcc.gov.tw/pishtml/pisindex.html,https://info.hwu.edu.tw/
110,私立,技專校院,1075,文藻學校財團法人文藻外語大學,http://d002.wzu.edu.tw/category/136250；http://c007.wzu.edu.tw/category/145540,http://140.127.168.37/wtuc/pay_pro/pay100.jsp?ls_test=1,http://a001.wzu.edu.tw/ezcatfiles/c008/img/img/1903/frame.htm
110,私立,技專校院,1076,華夏學校財團法人華夏科技大學,https://ws.hwh.edu.tw/ws/fip/file/4-4.html,https://ws.hwh.edu.tw/ws/fip/file/4-3.html,https://ws.hwh.edu.tw/ws/fip/
110,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,https://linuxweb.tcust.edu.tw/st/tad/stQrySubj.php,https://ga.tcust.edu.tw/p/412-1004-333-1.php,https://ir.tcust.edu.tw/index.php
