學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,畢業總學分數
106,公立,一般大學,0005,國立成功大學,07121070,環境工程學系,學士班(日間),101,28,0,0,129
106,公立,一般大學,0005,國立成功大學,07122026,水利及海洋工程學系,學士班(日間),107,28,0,0,135
106,公立,一般大學,0005,國立成功大學,07132074,能源國際學士學位學程,學士班(日間),103,28,0,0,131
106,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,學士班(日間),116,28,0,0,144
106,公立,一般大學,0005,國立成功大學,07141035,光電科學與工程學系,學士班(日間),83,28,0,17,128
106,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,學士班(日間),116,28,0,0,144
106,公立,一般大學,0005,國立成功大學,07162043,航空太空工程學系,學士班(日間),105,28,0,0,133
106,公立,一般大學,0005,國立成功大學,07163044,系統及船舶機電工程學系,學士班(日間),103,28,0,0,131
106,公立,一般大學,0005,國立成功大學,07193061,生物醫學工程學系,學士班(日間),106,28,0,0,134
106,公立,一般大學,0005,國立成功大學,07194071,工程科學系,學士班(日間),102,28,0,0,130
106,公立,一般大學,0005,國立成功大學,07241064,資源工程學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0005,國立成功大學,07311075,建築學系,學士班(日間),109,0,28,0,137
106,公立,一般大學,0005,國立成功大學,07313076,都市計劃學系,學士班(日間),79,28,25,0,132
106,公立,一般大學,0005,國立成功大學,07321049,土木工程學系,學士班(日間),106,28,0,3,137
106,公立,一般大學,0005,國立成功大學,07322067,測量及空間資訊學系,學士班(日間),101,28,2,0,135
106,公立,一般大學,0005,國立成功大學,09121077,醫學系,學士班(日間),115,28,69,0,218
106,公立,一般大學,0005,國立成功大學,09131090,護理學系,學士班(日間),64,28,29,7,128
106,公立,一般大學,0005,國立成功大學,09141094,醫學檢驗生物技術學系,學士班(日間),79,28,20,4,132
106,公立,一般大學,0005,國立成功大學,09151082,物理治療學系,學士班(日間),87,28,24,0,139
106,公立,一般大學,0005,國立成功大學,09152089,職能治療學系,學士班(日間),77,28,30,0,135
106,公立,一般大學,0005,國立成功大學,09161086,藥學系,學士班(日間),119,28,22,0,169
106,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0006,國立中興大學,02221007,歷史學系,學士班(日間),74,30,0,26,130
106,公立,一般大學,0006,國立中興大學,02311006,外國語文學系,學士班(日間),90,30,0,10,130
106,公立,一般大學,0006,國立中興大學,02322005,中國文學系,學士班(日間),100,30,0,0,130
106,公立,一般大學,0006,國立中興大學,03111009,應用經濟學系,學士班(日間),83,30,0,18,131
106,公立,一般大學,0006,國立中興大學,04111015,會計學系,學士班(日間),90,30,0,12,132
106,公立,一般大學,0006,國立中興大學,04121019,財務金融學系,學士班(日間),102,30,0,0,132
106,公立,一般大學,0006,國立中興大學,04131016,企業管理學系,學士班(日間),98,30,0,0,128
106,公立,一般大學,0006,國立中興大學,04143020,行銷學系,學士班(日間),90,30,0,0,120
106,公立,一般大學,0006,國立中興大學,04211023,法律學系,學士班(日間),102,30,0,4,136
106,公立,一般大學,0006,國立中興大學,05111026,生命科學系,學士班(日間),80,30,8,0,118
106,公立,一般大學,0006,國立中興大學,05111029,昆蟲學系,學士班(日間),98,30,0,0,128
106,公立,一般大學,0006,國立中興大學,05121031,生物科技學士學位學程,學士班(日間),98,30,0,0,128
106,公立,一般大學,0006,國立中興大學,05292082,水土保持學系,學士班(日間),93,30,1,12,136
106,公立,一般大學,0006,國立中興大學,05311039,化學系,學士班(日間),89,30,0,9,128
106,公立,一般大學,0006,國立中興大學,05331040,物理學系,學士班(日間),83,30,0,15,128
106,公立,一般大學,0006,國立中興大學,05411041,應用數學系,學士班(日間),90,30,0,14,134
106,公立,一般大學,0006,國立中興大學,06131043,資訊管理學系,學士班(日間),102,30,0,0,132
106,公立,一般大學,0006,國立中興大學,06131048,資訊科學與工程學系,學士班(日間),100,30,0,0,130
106,公立,一般大學,0006,國立中興大學,07111055,化學工程學系,學士班(日間),107,30,0,0,137
106,公立,一般大學,0006,國立中興大學,07112057,材料科學與工程學系,學士班(日間),89,30,0,15,134
106,公立,一般大學,0006,國立中興大學,07121059,環境工程學系,學士班(日間),104,30,0,0,134
106,公立,一般大學,0006,國立中興大學,07141045,電機工程學系,學士班(日間),80,30,0,0,110
106,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,學士班(日間),98,30,0,9,137
106,公立,一般大學,0006,國立中興大學,07151052,生物產業機電工程學系,學士班(日間),102,30,0,10,142
106,公立,一般大學,0006,國立中興大學,07199B02,學士後發光二極體學士學位學程,學士班(日間),48,0,0,0,48
106,公立,一般大學,0006,國立中興大學,07211081,食品暨應用生物科技學系,學士班(日間),81,30,0,19,130
106,公立,一般大學,0006,國立中興大學,07312061,景觀與遊憩學士學位學程,學士班(日間),97,30,0,0,127
106,公立,一般大學,0006,國立中興大學,07321054,土木工程學系,學士班(日間),110,30,0,0,140
106,公立,一般大學,0006,國立中興大學,08111063,農藝學系,學士班(日間),100,30,0,0,130
106,公立,一般大學,0006,國立中興大學,08112066,動物科學系,學士班(日間),89,30,0,9,128
106,公立,一般大學,0006,國立中興大學,08121067,園藝學系,學士班(日間),90,30,0,8,128
106,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,學士班(日間),92,30,0,6,128
106,公立,一般大學,0006,國立中興大學,08193078,國際農企業學士學位學程,學士班(日間),98,30,0,0,128
106,公立,一般大學,0006,國立中興大學,08194068,植物病理學系,學士班(日間),88,30,0,20,138
106,公立,一般大學,0006,國立中興大學,08211086,森林學系,學士班(日間),92,30,0,16,138
106,公立,一般大學,0006,國立中興大學,08411087,獸醫學系,學士班(日間),152,30,0,0,182
106,公立,一般大學,0007,國立陽明交通大學,02299008,人文社會學系,學士班(日間),70,28,0,30,128
106,公立,一般大學,0007,國立陽明交通大學,02311005,外國語文學系,學士班(日間),70,28,0,30,128
106,公立,一般大學,0007,國立陽明交通大學,03211015,傳播與科技學系,學士班(日間),72,28,0,28,128
106,公立,一般大學,0007,國立陽明交通大學,04121020,資訊管理與財務金融學系,學士班(日間),83,28,0,17,128
106,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,學士班(日間),76,28,0,30,134
106,公立,一般大學,0007,國立陽明交通大學,05121028,生物科技學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0007,國立陽明交通大學,05311036,應用化學系,學士班(日間),82,28,0,18,128
