學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),進修交流國家(地區)別,進修交流國家(地區)區域別,本國學生出國進修交流至少1學期(修讀學分)以上人數小計,本國學生出國進修交流至少1學期(修讀學分)以上人數男,本國學生出國進修交流至少1學期(修讀學分)以上人數女,本國學生出國進修交流未滿1學期(修讀學分)人數小計,本國學生出國進修交流未滿1學期(修讀學分)人數男,本國學生出國進修交流未滿1學期(修讀學分)人數女
105,1,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),瑞典王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),大陸地區,大陸地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),法國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播學士學位學程,學士班(日間),瑞典王國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211050,國際傳播英語碩士學位學程,碩士班(日間),挪威王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),香港,港澳,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),法國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),匈牙利共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),愛爾蘭共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211052,廣播電視學系,學士班(日間),美國,北美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),香港,港澳,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),大陸地區,大陸地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,碩士班(日間),大陸地區,大陸地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),日本,其他亞洲地區,4,1,3,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,碩士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),丹麥王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),匈牙利共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),義大利共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),波蘭共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),瑞典王國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),立陶宛共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03212051,新聞學系,學士班(日間),美國,北美洲,2,0,2,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03299056,傳播學院博士班,博士班,香港,港澳,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),香港,港澳,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),大陸地區,大陸地區,2,1,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04111059,會計學系,學士班(日間),大韓民國(南韓),其他亞洲地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),比利時王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),荷蘭王國,歐洲,2,1,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),大陸地區,大陸地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),大陸地區,大陸地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),大韓民國(南韓),其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),丹麥王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),法國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),荷蘭王國,歐洲,4,0,4,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),瑞典王國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),瑞士聯邦,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),法國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),義大利共和國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),波蘭共和國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),葡萄牙共和國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),西班牙王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,碩士班(日間),德意志聯邦共和國,歐洲,2,0,2,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121065,財務管理學系,學士班(日間),加拿大,北美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),泰國,東協,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),香港,港澳,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),大陸地區,大陸地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),丹麥王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),芬蘭共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),法國,歐洲,2,0,2,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),荷蘭王國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),西班牙王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,碩士班(日間),芬蘭共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04121068,金融學系,學士班(日間),加拿大,北美洲,2,1,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),香港,港澳,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),大韓民國(南韓),其他亞洲地區,2,0,2,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),芬蘭共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,04122070,財政學系,學士班(日間),荷蘭王國,歐洲,1,1,0,0,0,0
