,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,男,女,總計
,101,公立,一般大學,7,國立交通大學,520114,資訊工程學系,學士班(日間),45,7,52
,101,公立,一般大學,7,國立交通大學,520198,電機資訊學士班,學士班(日間),3,0,3
,101,公立,一般大學,7,國立交通大學,520201,機械工程學系,學士班(日間),12,0,12
,101,公立,一般大學,7,國立交通大學,520301,土木工程學系,學士班(日間),15,2,17
,101,公立,一般大學,7,國立交通大學,520502,材料科學與工程學系,學士班(日間),2,1,3
,101,公立,一般大學,7,國立交通大學,520520,奈米科學及工程學士學位學程,學士班(日間),4,0,4
,101,公立,一般大學,7,國立交通大學,520601,工業工程與管理學系,學士班(日間),7,1,8
,101,公立,一般大學,7,國立交通大學,840102,運輸科技與管理學系,學士班(日間),7,0,7
,101,公立,一般大學,8,國立中央大學,220201,中國文學系,學士班(日間),5,8,13
,101,公立,一般大學,8,國立中央大學,220310,英美語文學系,學士班(日間),4,7,11
,101,公立,一般大學,8,國立中央大學,220314,法國語文學系,學士班(日間),3,6,9
,101,公立,一般大學,8,國立中央大學,310101,經濟學系,學士班(日間),4,4,8
,101,公立,一般大學,8,國立中央大學,340301,企業管理學系,學士班(日間),6,4,10
,101,公立,一般大學,8,國立中央大學,340501,財務金融學系,學士班(日間),3,2,5
,101,公立,一般大學,8,國立中央大學,420103,生命科學系,學士班(日間),6,2,8
,101,公立,一般大學,8,國立中央大學,440101,化學學系,學士班(日間),6,1,7
,101,公立,一般大學,8,國立中央大學,440201,地球科學學系,學士班(日間),4,3,7
,101,公立,一般大學,8,國立中央大學,440301,物理學系,學士班(日間),10,0,10
,101,公立,一般大學,8,國立中央大學,440401,大氣科學學系,學士班(日間),11,3,14
,101,公立,一般大學,8,國立中央大學,449999,理學院學士班,學士班(日間),1,0,1
,101,公立,一般大學,8,國立中央大學,460101,數學系,學士班(日間),26,3,29
,101,公立,一般大學,8,國立中央大學,480109,資訊管理學系,學士班(日間),6,1,7
,101,公立,一般大學,8,國立中央大學,520101,電機工程學系,學士班(日間),12,1,13
,101,公立,一般大學,8,國立中央大學,520106,光電科學與工程學系,學士班(日間),5,2,7
,101,公立,一般大學,8,國立中央大學,520114,資訊工程學系,學士班(日間),16,0,16
,101,公立,一般大學,8,國立中央大學,520126,通訊工程學系,學士班(日間),6,0,6
,101,公立,一般大學,8,國立中央大學,520201,機械工程學系,學士班(日間),25,2,27
,101,公立,一般大學,8,國立中央大學,520301,土木工程學系,學士班(日間),24,1,25
