學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業生數小計,畢業生數男,畢業生數女,畢業生取得輔系資格人數小計,畢業生取得輔系資格人數男,畢業生取得輔系資格人數女,畢業生取得雙主修資格人數小計,畢業生取得雙主修資格人數男,畢業生取得雙主修資格人數女
105,私立,一般大學,1003,東吳大學,碩士在職專班,250,108,142,...,...,...,...,...,...
105,私立,一般大學,1003,東吳大學,博士班,9,5,4,...,...,...,...,...,...
105,私立,一般大學,1004,中原大學,學士班(日間),2791,1527,1264,...,...,...,...,...,...
105,私立,一般大學,1004,中原大學,碩士班(日間),606,415,191,...,...,...,...,...,...
105,私立,一般大學,1004,中原大學,碩士在職專班,289,171,118,...,...,...,...,...,...
105,私立,一般大學,1004,中原大學,博士班,48,33,15,...,...,...,...,...,...
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(日間),4560,2215,2345,...,...,...,...,...,...
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,學士班(進修),432,200,232,...,...,...,...,...,...
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士班(日間),669,404,265,...,...,...,...,...,...
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,碩士在職專班,389,202,187,...,...,...,...,...,...
105,私立,一般大學,1005,淡江大學學校財團法人淡江大學,博士班,52,35,17,...,...,...,...,...,...
105,私立,一般大學,1006,中國文化大學,學士班(日間),4270,1915,2355,...,...,...,...,...,...
105,私立,一般大學,1006,中國文化大學,學士班(進修),493,176,317,...,...,...,...,...,...
105,私立,一般大學,1006,中國文化大學,碩士班(日間),384,190,194,...,...,...,...,...,...
105,私立,一般大學,1006,中國文化大學,碩士在職專班,127,44,83,...,...,...,...,...,...
105,私立,一般大學,1006,中國文化大學,博士班,49,27,22,...,...,...,...,...,...
105,私立,一般大學,1007,逢甲大學,學士班(日間),3799,2263,1536,...,...,...,...,...,...
105,私立,一般大學,1007,逢甲大學,學士班(進修),188,106,82,...,...,...,...,...,...
105,私立,一般大學,1007,逢甲大學,碩士班(日間),646,426,220,...,...,...,...,...,...
